"id","tiny_name","name","code","width","height","external_id"
"0ca9baec-bc58-455c-9c17-59410fb79227",NesNEJ.155,"НЕСКАФЕ Голд Кофе сублим Вдохновленный Азией 155г ст/бан:6, Стеклянная банка, .155",nescafe_gold_vdohnovlennyij_aziej_rastvorimyij_155g_jar,8.50,18.80,"8000075400"
"6948653e7f204-9626",Nes__W.160,"NESCAFE Gold Кофе нат раствор сублим д/п(Нестле):8, зиплок, .160",nescafe_gold_rastvorimyy_wrp,16.00,24.00,"8000076648"
"694863d03ddc2-2032",JacMRW.170,"Monarch Кофе дой-пак (Якобс Рус):6, зиплок, .170",jacobs_monarch_rastvorimyy_wrp,16.00,24.00,"8000078491"
"636b58845eb18-2623",JarCMJ.095,"JARDIN Colombia Medellin Кофе 95г ст/б(Орими Трэйд):12, Стеклянная банка, .095",jardin_colombia_medellin_rastvorimyy_jar,7.20,16.50,"9912420006"
"636b5ded84924-3195",MokSRJ.095,"МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ Суаре Кофе Раств 95г(Полис):12, Стеклянная банка, .095",moskovskaya_kofeynya_na_payah_suare_rastvorimyy_jar,8.15,15.67,"9919990020"
"636b588810d73-7881",MahGSC10PC,"MACCHOCOLATE Горячий шок Миндаль 10пак*20г 200г(ФесПрод):10, коробка, 10PC",macchocolate_goryachiy_shokolad_mindal_rastvorimyy_portsionnyy_box,9.50,15.00,"9919990078"
"636b588351adf-9474",JarDCV.250,"JARDIN Dessert Cup Кофе молотый 250г в/у(Орими Трэйд):12, вакуумная упаковка, .250",jardin_dessert_cup_molotyy_vac,8.50,16.00,"9924200004"
"636b58822d138-5627",JarACV.250,"JARDIN AMERICANO CREMA Кофе жареный молотый 250г в/у:12, вакуумная упаковка, .250",jardin_americano_crema_molotyy_vac,8.50,16.00,"9924200005"
"636b588449cfc-5658",JarEDV.250,"JARDIN Espresso Stile Di Milano Кофе молотый 250г в/у:12, вакуумная упаковка, .250",jardin_espresso_di_milano_molotyy_vac,8.50,16.00,"9924200006"
"636b5884216b9-8944",JarGAJ.095,"JARDIN Guatemala atitlan Кофе раствор ст/бан(Орими):6, Стеклянная банка, .095",jardin_guatemala_atitlan_rastvorimyy_jar,7.20,16.50,"9932420003"
"636b588149860-8899",JacMIJ.095,"JACOBS Monarch Intense Кофе 95г ст/б(Якобс Рус):12, Стеклянная банка, .095",jacobs_monarch_intense_rastvorimyy_jar,7.40,15.20,"9934700007"
"636b5ded21dd5-5304",MokAZW.500,"МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ Кофе арабика нат зерна :4, зиплок, .500",moskovskaya_kofeynya_na_payah_arabika_zernovoy_wrp,11.50,25.50,"9939990001"
